19:38:21.131 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (fab88daaabfee789e0bfab0c4dad8438)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fab88daaabfee789e0bfab0c4dad8438)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fab88daaabfee789e0bfab0c4dad8438)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fab88daaabfee789e0bfab0c4dad8438)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fab88daaabfee789e0bfab0c4dad8438)] -> css selector: #myTab a]] to be visible
19:38:21.200 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose basic_example level
19:38:21.788 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (fab88daaabfee789e0bfab0c4dad8438)] -> css selector: .active.in .list-group] to be visible
19:38:22.439 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap Alerts exercise
19:38:22.564 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_Success_Should_Show_Message Passed
19:38:22.565 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:38:22.893 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:38:22.897 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:38:22.899 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:38:22.969 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:38:27.426 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:38:27.426 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:38:27.427 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_Success_Should_Show_Message Started
